,Daily Time Spent on Site,Ad Category,Time Category,Age,Area Income(in Rupees),Daily Internet Usage,Gender,Clicked on Ad,Country,Continent
0,62.26,8,3,32,69481.85,172.83,1,0,Svalbard & Jan Mayen Islands,Europe
1,41.73,5,1,31,61840.26,207.17,1,0,Singapore,Asia
2,44.4,8,2,30,57877.15,172.83,0,0,Guadeloupe,North America
3,59.88,1,0,28,56180.93,207.17,0,0,Zambia,Africa
4,49.21,8,2,30,54324.73,201.58,0,1,Qatar,Asia
5,51.3,1,0,26,51463.17,131.68,0,0,Cameroon,Africa
6,66.08,1,3,43,73538.09,136.4,1,1,Turkey,Asia
7,36.08,4,2,26,74903.41,228.78,1,0,French Guiana,South America
8,46.14,10,2,33,43974.49,196.77,1,0,Vanuatu,Oceania
9,51.65,7,2,51,74535.94,188.56,0,0,Cameroon,Africa
10,47.64,4,3,29,53431.35,200.71,0,0,Burundi,Africa
11,65.07,1,1,34,34191.23,187.09,1,1,Equatorial Guinea,Africa
12,55.6,3,2,24,52252.91,167.22,0,1,Guinea,Africa
13,62.26,5,0,25,50671.6,138.71,1,0,Hong Kong,Asia
14,78.84,8,3,27,69646.35,239.32,0,0,Spain,Europe
15,56.39,8,1,40,40468.53,140.46,0,1,Uganda,Africa
16,54.43,1,2,39,56180.93,124.44,0,0,Saint Pierre and Miquelon,North America
17,60.23,1,3,43,31092.93,234.26,1,1,Northern Mariana Islands,Oceania
18,41.73,3,0,31,61840.26,207.17,1,0,Singapore,Asia
19,89.05,1,1,38,57868.44,170.13,1,1,Western Sahara,Africa
20,56.39,1,3,46,54286.1,193.29,0,1,Mexico,North America
21,39.96,7,0,45,59886.58,174.88,0,1,Rwanda,Africa
22,59.22,1,1,28,53058.91,217.37,0,0,Liechtenstein,Europe
23,47.74,1,0,33,68094.85,188.56,1,0,Vanuatu,Oceania
24,86.06,1,0,35,73889.99,158.29,1,0,Bolivia,South America
25,55.6,1,3,30,58677.69,184.88,0,1,Guinea,Africa
26,61.22,0,2,25,50506.44,194.95,0,0,Saint Pierre and Miquelon,North America
27,60.53,4,2,33,68094.85,162.03,0,0,Indonesia,Asia
28,90.97,0,3,31,38817.4,171.23,0,0,Angola,Africa
